EmployeeID,FirstName,Department,JobRole,Age,Gender,MaritalStatus,Education,State,City,HireDate,TerminationDate,Attrition,MonthlySalary,AnnualSalary,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,DistanceFromHomeKM,NumCompaniesWorked,TrainingHoursLastYear
114361,Employee114361,Surgery,Anesthesiologist,33,Male,Married,Bachelor's Degree,CT,Hartford,2016-12-18,,No,11150.0,133800.0,3,3.0,2,No,1.0,1,19
114447,Employee114447,Human Resources,Recruiter,56,Male,Single,Bachelor's Degree,NJ,Trenton,2016-05-24,2017-03-13,Yes,5175.0,62100.0,1,1.0,4,Yes,51.3,2,19
104699,Employee104699,RADIOLOGY,Radiologist,28,Male,Divorced,Associate Degree,PA,Allentown,2015-09-04,,No,10500.0,126000.0,1,2.0,3,Yes,11.1,1,46
111835,Employee111835,Human Resources,Recruiter,41,Male,Married,Associate Degree,NJ,Trenton,2015-11-24,,No,5175.0,62100.0,4,3.0,2,Yes,34.2,1,50
102182,Employee102182,LAB SERVICES,Lab Manager,29,Male,Married,Bachelor's Degree,NY,Syracuse,2017-03-18,,No,10950.0,131400.0,2,3.0,3,No,12.5,0,34
108407,Employee108407,Radiology,Imaging Specialist,32,Male,Married,Associate Degree,MA,Springfield,2023-12-07,2024-02-13,Yes,6883.33,82600.0,5,2.0,2,No,3.9,1,13
105415,Employee105415,Emergency,ER Nurse,42,Female,Married,High School,PA,Pittsburgh,2024-09-13,2025-03-26,Yes,5558.33,66700.0,2,2.0,2,Yes,11.4,1,32
109522,Employee109522,Emergency,ER Nurse,37,Male,Divorced,Master's Degree,NY,Rochester,2015-10-14,2019-11-14,Yes,7275.0,87300.0,2,2.0,1,Yes,7.7,1,24
114391,Employee114391,Nursing,Charge Nurse,39,Male,Divorced,Bachelor's Degree,MA,Boston,2014-08-25,,No,7800.0,93600.0,3,4.0,3,No,3.2,2,19
106856,Employee106856,IT,Network Engineer,51,Male,Single,Associate Degree,MA,Worcester,2018-06-16,,No,6433.33,77200.0,3,2.0,2,Yes,8.7,2,32
101303,Employee101303,Human Resources,HR Generalist,44,Male,Married,Master's Degree,MA,Boston,2022-02-07,,No,4425.0,53100.0,3,2.0,3,No,5.0,2,48
101350,Employee101350,Administration,Records Clerk,46,Female,Married,,CT,New Haven,2021-02-23,,No,4258.33,51100.0,3,4.0,4,No,,3,45
109527,Employee109527,Human Resources,Recruiter,44,Male,Married,Master's Degree,NJ,Trenton,2017-03-05,,No,5933.33,71200.0,3,2.0,3,No,2.2,2,32
111202,Employee111202,Administration,Office Manager,21,Female,Married,Bachelor's Degree,MA,Boston,2016-12-16,,No,10500.0,126000.0,4,4.0,3,No,36.6,0,40
109456,Employee109456,Lab Services,Phlebotomist,26,Non-Binary,Married,High School,CT,Stamford,2020-09-07,,No,4566.67,54800.0,4,3.0,2,No,2.0,2,66
107078,Employee107078,IT,Data Analyst,24,Female,Divorced,Associate Degree,CT,Stamford,2021-04-03,,No,7241.67,86900.0,4,3.0,3,Yes,33.4,1,28
106428,Employee106428,Human Resources,HR Generalist,33,Male,Divorced,Bachelor's Degree,MA,Boston,2014-05-07,,No,5416.67,65000.0,3,2.0,2,No,11.6,1,19
111837,Employee111837,RADIOLOGY,Radiologist,38,Non-Binary,Single,High School,NJ,Newark,2020-04-11,,No,9816.67,117800.0,1,3.0,4,No,2.4,3,4
108508,Employee108508,Radiology,Radiologist,41,Male,Married,Bachelor's Degree,CT,Hartford,2021-01-13,2022-02-16,Yes,10225.0,122700.0,4,1.0,3,No,24.1,1,39
101543,Employee101543,Lab Services,Lab Technician,47,Male,Divorced,Bachelor's Degree,CT,New Haven,2022-01-11,,No,4550.0,54600.0,1,4.0,2,Yes,6.6,4,27
110042,Employee110042,Finance,Billing Specialist,47,Female,Divorced,Bachelor's Degree,MA,Boston,2017-11-30,,No,7433.33,89200.0,1,3.0,2,No,15.6,2,23
101650,Employee101650,RADIOLOGY,Imaging Specialist,35,Male,Single,High School,PA,Philadelphia,2014-04-02,2020-07-17,Yes,7925.0,95100.0,2,4.0,2,No,14.5,4,10
